bam	read_counts
IAN_2brad_L1_1_S1_L001_R1_001_ACCA	1420276
IAN_2brad_L1_1_S1_L001_R1_001_AGAC	1159714
IAN_2brad_L1_1_S1_L001_R1_001_AGTG	1482208
IAN_2brad_L1_1_S1_L001_R1_001_CATC	685907
IAN_2brad_L1_1_S1_L001_R1_001_CTAC	2310102
IAN_2brad_L1_1_S1_L001_R1_001_GACT	2103323
IAN_2brad_L1_1_S1_L001_R1_001_GCTT	1470561
IAN_2brad_L1_1_S1_L001_R1_001_GTGA	2515196
IAN_2brad_L1_1_S1_L001_R1_001_TCAC	1825885
IAN_2brad_L1_1_S1_L001_R1_001_TCAG	1785853
IAN_2brad_L1_1_S1_L001_R1_001_TGGT	1420894
IAN_2brad_L1_1_S1_L001_R1_001_TGTC	1752112
IAN_2brad_L1_2_S2_L001_R1_001_ACCA	1872638
IAN_2brad_L1_2_S2_L001_R1_001_AGAC	2058027
IAN_2brad_L1_2_S2_L001_R1_001_AGTG	2025520
IAN_2brad_L1_2_S2_L001_R1_001_CATC	2114841
IAN_2brad_L1_2_S2_L001_R1_001_CTAC	1820202
IAN_2brad_L1_2_S2_L001_R1_001_GACT	882471
IAN_2brad_L1_2_S2_L001_R1_001_GCTT	674757
IAN_2brad_L1_2_S2_L001_R1_001_GTGA	1837240
IAN_2brad_L1_2_S2_L001_R1_001_TCAC	1840815
IAN_2brad_L1_2_S2_L001_R1_001_TCAG	2230786
IAN_2brad_L1_2_S2_L001_R1_001_TGGT	2295072
IAN_2brad_L1_2_S2_L001_R1_001_TGTC	1819811
IAN_2brad_L1_3_S3_L001_R1_001_ACCA	2326480
IAN_2brad_L1_3_S3_L001_R1_001_AGAC	2169122
IAN_2brad_L1_3_S3_L001_R1_001_AGTG	1199660
IAN_2brad_L1_3_S3_L001_R1_001_CATC	956099
IAN_2brad_L1_3_S3_L001_R1_001_CTAC	1249339
IAN_2brad_L1_3_S3_L001_R1_001_GACT	1225668
IAN_2brad_L1_3_S3_L001_R1_001_GCTT	856591
IAN_2brad_L1_3_S3_L001_R1_001_GTGA	1237871
IAN_2brad_L1_3_S3_L001_R1_001_TCAC	1105696
IAN_2brad_L1_3_S3_L001_R1_001_TCAG	1255442
IAN_2brad_L1_3_S3_L001_R1_001_TGGT	2041332
IAN_2brad_L1_3_S3_L001_R1_001_TGTC	1525240
IAN_2brad_L1_4_S4_L001_R1_001_ACCA	1670343
IAN_2brad_L1_4_S4_L001_R1_001_AGAC	1805794
IAN_2brad_L1_4_S4_L001_R1_001_AGTG	1842905
IAN_2brad_L1_4_S4_L001_R1_001_CATC	1854953
IAN_2brad_L1_4_S4_L001_R1_001_CTAC	1951553
IAN_2brad_L1_4_S4_L001_R1_001_GACT	866238
IAN_2brad_L1_4_S4_L001_R1_001_GCTT	1523743
IAN_2brad_L1_4_S4_L001_R1_001_GTGA	2158986
IAN_2brad_L1_4_S4_L001_R1_001_TCAC	2040305
IAN_2brad_L1_4_S4_L001_R1_001_TCAG	1883814
IAN_2brad_L1_4_S4_L001_R1_001_TGGT	1610165
IAN_2brad_L1_4_S4_L001_R1_001_TGTC	2597333
IAN_2brad_L1_5_S5_L001_R1_001_ACCA	2093703
IAN_2brad_L1_5_S5_L001_R1_001_AGAC	2272444
IAN_2brad_L1_5_S5_L001_R1_001_AGTG	1877060
IAN_2brad_L1_5_S5_L001_R1_001_CATC	1987971
IAN_2brad_L1_5_S5_L001_R1_001_CTAC	1512906
IAN_2brad_L1_5_S5_L001_R1_001_GACT	1174081
IAN_2brad_L1_5_S5_L001_R1_001_GCTT	1459554
IAN_2brad_L1_5_S5_L001_R1_001_GTGA	1985557
IAN_2brad_L1_5_S5_L001_R1_001_TCAC	1228170
IAN_2brad_L1_5_S5_L001_R1_001_TCAG	2367894
IAN_2brad_L1_5_S5_L001_R1_001_TGGT	399623
IAN_2brad_L1_5_S5_L001_R1_001_TGTC	2168821
IAN_2brad_L1_6_S6_L001_R1_001_ACCA	336925
IAN_2brad_L1_6_S6_L001_R1_001_AGAC	1722812
IAN_2brad_L1_6_S6_L001_R1_001_AGTG	1169897
IAN_2brad_L1_6_S6_L001_R1_001_CATC	1535389
IAN_2brad_L1_6_S6_L001_R1_001_CTAC	596974
IAN_2brad_L1_6_S6_L001_R1_001_GACT	1908803
IAN_2brad_L1_6_S6_L001_R1_001_GCTT	1997065
